seed,heterogeneity_cv,budget_label,budget_fidelity,budget_cost,budget_rate,link_label,link_fidelity,link_cost,link_rate,link_feasible,rate_improvement_pct
73,0.22042977010990916,"beam.span.((pump[ZX](hop0.n2.YY,hop0.n3.YY_YY)+(hop1.n2.XZ+(hop2.n2.XZ+(hop3.n2.XZ+hop4.n2.XZ))))+pump[YY](hop5.n2.XZ,hop5.n3.XZ_XZ))",0.900198035911161,36,2221.5113761257653,link.n3.XZ_YY,0.9352502420114059,36,2180.321703566026,True,1.8891557375396273
74,0.5213607350698863,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(hop1.n3.XZ_YY+((pump[YY]((hop2+hop3),(hop2+hop3))+hop4.n2.YY)+hop5.n2.YY)))",0.9007043151576933,30,4233.879508337854,link.n3.YY_XZ,0.9189870382177507,36,3143.666767653555,True,34.67965345124788
75,0.5215851028220186,"beam.span.((hop0.n2.XZ+hop1.n2.XZ)+pump[ZX]((hop2.n2.YY+(hop3.n2.YY+pump[YY]((hop4+hop5),(hop4+hop5)))),(hop2.n2.YY+(hop3.n2.YY+pump[YY]((hop4+hop5),(hop4+hop5))))))",0.9002263286978676,40,1520.9859687076842,link.n3.XZ_YY,0.9282135734343232,36,1509.281651030868,True,0.7754892977610783
76,0.3176691111930181,link.n3.YY_XZ,0.9195158443504351,36,3287.248749453098,link.n3.YY_XZ,0.9195158443504351,36,3287.248749453098,True,0.0
77,0.36936961180836025,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+((hop1.n3.XZ_YY+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY)))",0.900848349279913,36,2662.8065288228813,link.n3.XZ_YY,0.934065700399932,36,2307.602849278511,True,15.392756151927433
78,0.6514240421192878,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(((hop1.n2.YY+pump[YY]((hop2+hop3),(hop2+hop3)))+hop4.n2.YY)+hop5.n3.XZ_YY))",0.9017775717759743,30,3359.100393238097,link.n3.YY_XZ,0.9174060898640853,36,2565.0883629980685,True,30.954568337442723
79,0.7113886247932455,"beam.span.(((hop0.n2.YY+(hop1.n2.YY+pump[YY]((hop2+hop3),(hop2+hop3))))+hop4.n3.XZ_YY)+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9002545573082334,30,2905.999934934101,link.n3.XZ_YY,0.9250226621092961,36,2642.176777938501,True,9.98506834207522
80,0.5661068208738608,link.n3.XZ_YY,0.9157808050898536,36,1910.9897588655754,link.n3.XZ_YY,0.9157808050898536,36,1910.9897588655754,True,0.0
81,0.48505718132716785,"beam.span.((((hop0.n2.YY+hop1.n2.YY)+(hop2.n2.YY+hop3.n2.YY))+hop4.n3.XZ_YY)+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9001765642514854,30,3270.9484035807736,link.n3.XZ_YY,0.9348812675871864,36,2607.0274380191127,True,25.466589107559436
82,0.5251463688310072,"beam.span.((hop0.n3.XZ_XZ+((hop1.n2.XZ+hop2.n2.XZ)+(hop3.n2.XZ+hop4.n2.XZ)))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9001162519484405,30,6001.203758188898,link.n3.YY_XZ,0.9179642285129502,36,4396.931791155937,True,36.48616906588864
83,0.466973135790348,"beam.span.((hop0.n2.YY+(hop1.n2.YY+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY))))+pump[YY](hop5.n3.XZ_XZ,hop5.n3.XZ_XZ))",0.9000076371904479,32,4528.933342826272,link.n3.YY_XZ,0.9218790536816495,36,3549.6909293643143,True,27.586695093967585
84,0.5926729689062646,"beam.span.(((hop0.n2.YY+hop1.n2.YY)+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+pump[XZ](hop5.n2.YY,hop5.n3.XZ_YY))",0.9013632930801849,30,4204.046890290778,link.n3.ZX_YY,0.9007689615663463,36,3045.9817912448702,True,38.019436044383404
85,0.4006662844091159,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+((((hop1.n2.YY+hop2.n2.YY)+hop3.n2.YY)+hop4.n3.XZ_YY)+pump[YY](hop5.n2.XZ,hop5.n2.XZ)))",0.9005328416179038,34,3324.2321229174277,link.n3.XZ_YY,0.9350851620905002,36,2523.401112495821,True,31.736175689862023
86,0.5527970170501372,"beam.span.((pump[ZX](hop0.n2.YY,hop0.n3.XZ_YY)+(hop1.n3.XZ_YY+((hop2.n2.YY+hop3.n2.YY)+hop4.n3.XZ_YY)))+pump[ZX](hop5.n3.XZ_YY,hop5.n3.XZ_YY))",0.9000013277970287,42,2149.237606713301,link.n3.XZ_YY,0.931817159357627,36,2016.6647712288952,True,6.5738657894846675
87,0.6812272287481991,"beam.span.((((hop0.n2.YY+hop1.n2.YY)+hop2.n2.YY)+(hop3.n2.YY+hop4.n2.YY))+pump[YY](hop5.n2.XZ,hop5.n2.XZ))",0.9007985394715954,28,5050.530589073991,link.n3.YY_XZ,0.9236662118877138,36,3605.3378827797624,True,40.08480628672635
88,0.43383412813973576,link.n2.YY,0.9033005012948058,24,10733.54098006649,link.n2.YY,0.9033005012948058,24,10733.54098006649,True,0.0
89,0.4426126776679445,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n3.XZ_XZ)+((hop1.n2.YY+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+hop5.n3.XZ_YY))",0.9011220363100317,32,2997.2596644951973,link.n3.XZ_YY,0.9352802877752747,36,2714.5107958675385,True,10.416199819801953
90,0.6814821005368505,"beam.span.(((hop0.n2.YY+((hop1.n2.YY+hop2.n2.YY)+hop3.n2.YY))+hop4.n3.XZ_YY)+pump[XZ](hop5.n2.YY,hop5.n3.XZ_YY))",0.9037295822177993,32,4225.158204405542,link.n3.YY_XZ,0.903745082325924,36,3227.0813548965784,True,30.92815890725973
91,0.46252640022309666,link.n3.XZ_YY,0.9227168638616684,36,1694.735701490521,link.n3.XZ_YY,0.9227168638616684,36,1694.735701490521,True,0.0
92,0.6747848296444683,"beam.span.(((((hop0.n2.XZ+hop1.n2.XZ)+hop2.n2.XZ)+hop3.n2.XZ)+hop4.n3.XZ_XZ)+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY))",0.9003995529028161,32,4333.628618936126,link.n3.YY_XZ,0.9131158172035511,36,3665.9843902780076,True,18.211867743590915
93,0.63176715564791,"beam.span.((pump[ZX](hop0.n2.YY,hop0.n2.YY)+(((hop1+hop2.n2.XZ)+hop3.n3.ZX_YY)+hop4.n2.XZ))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9011751609884935,32,2510.604392981477,link.n3.YY_XZ,0.9024784654749476,36,2436.1019163152346,True,3.058266001404908
94,1.1359792917608091,"beam.span.((((hop0.n2.YY+hop1.n2.YY)+(hop2.n3.ZX_YY+hop3.n2.YY))+pump[ZX](hop4.n2.YY,hop4.n2.YY))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9038008928145284,34,5541.5144089832565,link.n3.YY_XZ,0.9116086573771762,36,4244.11322695478,True,30.569429057371856
95,0.7519287634838239,beam.span.(hop0.n2.YY+(((hop1.n2.YY+hop2.n2.YY)+(hop3.n2.YY+hop4.n2.YY))+hop5.n2.YY)),0.9012468107524519,24,7472.682610649598,link.n2.YY,0.9012468107524516,24,7472.682610649598,True,0.0
96,1.1417979505826228,"beam.span.(((hop0.n2.YY+hop1.n2.YY)+((hop2.n2.YY+hop3.n2.YY)+hop4.n2.YY))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9006179239430375,28,6764.735342487658,link.n3.YY_XZ,0.9252027420084248,36,4808.953667537009,True,40.669588649880616
97,0.8740892190695552,"beam.span.((hop0.n3.XZ_YY+(hop1.n2.XZ+((hop2+hop3.n2.XZ)+hop4.n2.XZ)))+pump[ZX](hop5.n2.YY,hop5.n2.YY))",0.9001856733685436,28,6324.533949740331,link.n3.YY_XZ,0.9225288122218658,36,5069.053259571105,True,24.767557685425736
98,0.5445413712049234,link.n3.XZ_YY,0.9318758626436705,36,2238.4423773085555,link.n3.XZ_YY,0.9318758626436705,36,2238.4423773085555,True,0.0
99,0.5034626217854902,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+(hop1.n3.ZX_YY+((hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY))+hop5.n2.YY)))",0.9008183157887014,30,4581.18654209603,link.n3.YY_XZ,0.9201105583709073,36,3207.59244152137,True,42.8232116647326
