label,role,resource_cost,fidelity,success_prob,rate,pareto_f_vs_c,pareto_f_vs_r
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_XZ,hop5.n3.YY_XZ)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.ZX_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.ZX_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_XZ,hop5.n3.YY_XZ)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)),(pump[YY](hop4.n3.YY_ZX,hop4.n3.ZX_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.ZX_YY)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.ZX_YY)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.ZX_YY)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[ZX](hop4.n3.YY_ZX,hop4.n3.ZX_YY)+pump[ZX](hop5.n3.YY_ZX,hop5.n3.ZX_YY)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.ZX_YY)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.ZX_YY)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.ZX_YY)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)),(pump[ZX](hop4.n3.YY_ZX,hop4.n3.ZX_YY)+pump[ZX](hop5.n3.YY_ZX,hop5.n3.XZ_YY)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.ZX_YY)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.ZX_YY)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.ZX_YY)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)),(pump[ZX](hop4.n3.YY_ZX,hop4.n3.ZX_YY)+pump[ZX](hop5.n3.YY_ZX,hop5.n3.ZX_YY)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
"beam.span.(hop0.n3.YY_ZX+(pump[ZX](hop1.n3.YY_ZX,hop1.n3.ZX_YY)+(pump[ZX](hop2.n3.YY_ZX,hop2.n3.ZX_YY)+(pump[ZX](hop3.n3.YY_ZX,hop3.n3.ZX_YY)+pump[ZX]((pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+pump[YY](hop5.n3.YY_ZX,hop5.n3.ZX_ZX)),(pump[ZX](hop4.n3.YY_ZX,hop4.n3.ZX_YY)+pump[ZX](hop5.n3.YY_ZX,hop5.n3.XZ_YY)))))))",other,90,0.9923254282167429,0.40877206503481656,6812.867750580276,True,True
end_heralded.n2.YY,other,24,0.9169427601984703,0.8622938454990602,4790.521363883668,False,False
end_heralded.n2.ZX,other,24,0.9169427601984703,0.8622938454990602,4790.521363883668,False,False
end_heralded.n2.XZ,other,24,0.9169427601984703,0.8622938454990602,4790.521363883668,False,False
end_heralded.n3.YY_YY,other,36,0.8884203757607082,0.7934407682485903,2644.8025608286343,False,False
end_heralded.n3.ZX_XZ,other,36,0.8884203757607082,0.7934407682485903,2644.8025608286343,False,False
end_heralded.n3.XZ_ZX,other,36,0.8884203757607082,0.7934407682485903,2644.8025608286343,False,False
end_heralded.n3.YY_ZX,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n3.YY_XZ,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n3.ZX_YY,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n3.ZX_ZX,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n3.XZ_YY,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n3.XZ_XZ,other,36,0.9499860168479672,0.7395412867219326,2465.137622406442,False,False
end_heralded.n4.YY_YY_YY,other,48,0.8575934775038432,0.7340691834918387,1747.7837702186634,False,False
end_heralded.n4.ZX_XZ_ZX,other,48,0.8575934775038432,0.7340691834918387,1747.7837702186634,False,False
end_heralded.n4.XZ_ZX_XZ,other,48,0.8575934775038432,0.7340691834918387,1747.7837702186634,False,False
end_heralded.n4.YY_ZX_XZ,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.YY_XZ_ZX,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.ZX_YY_YY,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.ZX_ZX_XZ,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.XZ_YY_YY,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.XZ_XZ_ZX,other,48,0.9194005083478748,0.6801697019651811,1619.4516713456692,False,False
end_heralded.n4.YY_YY_ZX,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
end_heralded.n4.YY_YY_XZ,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
end_heralded.n4.ZX_XZ_YY,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
end_heralded.n4.ZX_XZ_XZ,other,48,0.9499860168479674,0.6592340450972894,1569.6048692792606,False,False
